,Latitude,Longitude,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed
Najrān,17.4924,44.1277,83.05,83.05,15,5,3.27
Edson,53.5835,-116.4356,48.31,64.76,87,0,1.59
Yamada,39.4667,141.95,63.39,63.39,93,100,1.63
Bundaberg,-24.85,152.35,60.22,63.5,85,55,5.14
Whitianga,-36.8333,175.7,53.29,53.29,88,99,8.52
Kapaa,22.0752,-159.319,72.64,77.99,87,40,11.23
Chui,-33.6971,-53.4616,64.36,64.36,56,71,9.31
Arman',59.7,150.1667,32.02,32.02,86,100,11.99
São Filipe,14.8961,-24.4956,79.36,79.36,75,95,5.21
Haines Junction,60.7522,-137.5108,22.95,42.39,93,100,1.9
Mehamn,71.0357,27.8492,44.55,44.55,70,75,10.04
Ipixuna,-1.7625,-48.8043,82.45,82.45,71,36,4.68
Usol'ye-Sibirskoye,52.7519,103.6453,27.03,27.03,83,12,0.92
Mamit,23.9333,92.4833,70.18,70.18,89,91,2.13
Nanga Eboko,4.6833,12.3667,68.14,68.14,99,84,2.17
Puerto Escondido,15.85,-97.0667,85.03,85.03,61,0,5.1
San Cristobal,7.7669,-72.225,82.58,88.11,37,18,6.17
Morant Bay,17.8815,-76.4093,87.42,87.42,68,80,7.52
Aktash,50.3,87.7333,20.12,20.12,55,0,2.98
Cabra,37.4725,-4.4421,78.6,78.6,26,0,2.55
Wewak,-3.5534,143.6268,80.64,80.64,83,86,7.36
Kuril'sk,45.2333,147.8833,52.14,52.14,86,100,15.46
Windham,41.8334,-72.0001,53.64,53.64,84,100,13.85
Adil'-Yangiyurt,43.5633,46.5846,63.32,63.32,78,79,6.04
Bagdarin,54.4333,113.6,18.88,18.88,72,17,4.09
Coyhaique,-45.5752,-72.0662,51.75,51.75,58,75,7.4
Nagornyy,52.7959,83.5498,36.72,36.72,61,50,1.52
Kudahuvadhoo,2.6708,72.8944,81.43,81.43,78,100,17.29
Fairbanks,64.8378,-147.7164,32.0,38.59,90,0,3.87
Elizabethtown,37.694,-85.8591,64.27,70.63,41,0,5.95
Švenčionys,55.15,26.1667,45.07,45.07,84,83,13.91
Phetchaburi,12.9667,99.5833,72.3,72.3,95,78,3.2
Mogadishu,2.0371,45.3438,77.29,77.29,87,48,15.46
Corinth,37.9407,22.9573,72.9,72.9,47,0,4.9
Touros,-5.1989,-35.4608,81.84,81.84,61,90,17.07
Ballina,-28.8667,153.5667,54.93,59.31,96,94,1.34
Koudougou,12.25,-2.3667,88.36,88.36,53,87,6.11
Wuchang,44.9143,127.15,30.63,30.63,49,0,5.57
Korla,41.7597,86.1469,53.53,53.53,34,70,4.65
Qaanaaq,77.484,-69.3632,17.83,17.83,75,99,4.99
Tūkrah,32.5341,20.5791,75.49,75.49,63,52,15.95
Klaksvík,62.2266,-6.589,50.92,50.92,77,1,40.22
Juba,4.8517,31.5825,72.7,72.7,86,97,3.65
Ambilobe,-13.2,49.05,70.57,70.57,82,25,4.18
Jardim,-21.4803,-56.1381,92.44,92.44,33,0,2.19
Dikson,73.5069,80.5464,33.93,33.93,86,100,20.65
Oruzgan,32.8333,66.0,62.85,62.85,16,0,0.85
Iporá,-16.4419,-51.1178,92.97,92.97,29,32,7.16
Airai,-8.9266,125.4092,62.04,62.04,91,99,1.63
Karratha,-20.7377,116.8463,72.37,72.37,60,5,8.46
Hirara,24.8,125.2833,81.21,81.21,72,4,9.69
Okhotsk,59.3833,143.3,31.39,31.39,55,96,12.97
Ndjolé,-0.1783,10.7649,75.69,75.69,94,93,2.19
Portland,45.5234,-122.6762,57.18,70.39,93,100,0.6
Grand Gaube,-20.0064,57.6608,72.37,72.37,70,9,17.52
Saskylakh,71.9167,114.0833,21.56,21.56,96,100,4.59
Ranong,9.9658,98.6348,77.47,77.47,89,53,2.21
Barrow,71.2906,-156.7887,21.22,21.33,93,100,6.49
Vostok,46.4856,135.8833,21.6,21.6,89,84,4.14
Bahía Solano,6.2262,-77.4044,82.81,82.81,79,77,7.81
Río Gallegos,-51.6226,-69.2181,57.25,61.14,44,20,13.69
Shubarkuduk,49.1447,56.4872,48.42,48.42,20,43,11.7
Rikitea,-23.1203,-134.9692,69.4,69.4,66,68,25.32
Mednogorsk,51.4128,57.595,43.52,43.52,34,85,6.67
Kokologo,12.1897,-1.8856,87.15,87.15,53,67,6.38
Rocha,-34.4833,-54.3333,65.66,65.66,54,22,10.96
Deputatsky,69.3,139.9,-0.85,-0.85,98,50,3.8
Baft,29.234,56.6057,67.26,67.26,24,96,0.89
Provideniya,64.3833,-173.3,34.7,34.7,78,58,6.22
Santa Lucía,27.9117,-15.5407,74.5,74.5,47,49,7.52
